Title,Date,Rating,Review
Absolute perfection!,02-10-24,5,"The homemade pasta was outstanding. The crust was crispy on the bottom but airy and light, and the tomato sauce had a bright, fresh acidity. To top it off, the high-quality cheese that didn't feel greasy. The server was very attentive and made sure our water glasses were never empty. It gets quite loud during the dinner rush, making conversation difficult. Definitely worth every penny."
Absolute perfection!,12-12-23,5,"The garlic knots was outstanding. The crust was perfectly charred from the wood-fired oven, and the tomato sauce had a bright, fresh acidity. To top it off, the cheese ratio was spot on. Service was a bit slow despite the restaurant not being full. It gets quite loud during the dinner rush, making conversation difficult. Definitely worth every penny."
Best meal in a long time,02-29-24,5,"The pepperoni pizza was outstanding. The crust was perfectly charred from the wood-fired oven, and the tomato sauce had a bright, fresh acidity. To top it off, the generous portions of fresh mozzarella. The staff was incredibly knowledgeable about the wine pairings. The decor is simple but charming, giving it a real rustic feel. Definitely worth every penny."
Best meal in a long time,12-20-23,5,"The homemade pasta was outstanding. The crust was crispy on the bottom but airy and light, and the rich and savory tomato base. To top it off, the generous portions of fresh mozzarella. We had to flag down the waiter multiple times just to get the check. Loved the open kitchen concept where you can see the chefs working. Definitely worth every penny."
Average at best,02-04-24,3,"The veggie supreme was decent enough, though nothing stood out. The crust was thin and traditional. The perfectly balanced sauce with hints of oregano and garlic while the creamy buffalo mozzarella that melted beautifully was just okay. Loved the open kitchen concept where you can see the chefs working. However, Service was a bit slow despite the restaurant not being full. Great value for the portion sizes we received."
"Great food, small wait",03-18-24,4,The homemade pasta was very tasty. I particularly enjoyed how the crust was a bit too doughy in the center. The perfectly balanced sauce with hints of oregano and garlic and generous portions of fresh mozzarella were highlights. We had to flag down the waiter multiple times just to get the check. Great value for the portion sizes we received. Just a minor wait time kept it from being a full 5 stars.
Incredible quality and service,03-30-24,5,"The homemade pasta was outstanding. The crust was slightly chewy with a great sourdough flavor, and the sauce was a bit bland and lacked seasoning. To top it off, the cheese ratio was spot on. The server was very attentive and made sure our water glasses were never empty. The decor is simple but charming, giving it a real rustic feel. Definitely worth every penny."
It was okay,01-31-24,3,"The pepperoni pizza was decent enough, though nothing stood out. The crust was a bit too doughy in the center. The rich and savory tomato base while the creamy buffalo mozzarella that melted beautifully was just okay. The ambiance is cozy and perfect for a date night. However, Service was a bit slow despite the restaurant not being full. The lunch special is an absolute steal for the quality you get."
It was okay,03-12-24,3,"The veggie supreme was decent enough, though nothing stood out. The crust was slightly chewy with a great sourdough flavor. The rich and savory tomato base while the cheese was a bit rubbery was just okay. The ambiance is cozy and perfect for a date night. However, The manager personally checked on our table to ensure everything was to our liking. I felt it was a bit overpriced for what is essentially bread and cheese."
It was okay,12-04-23,3,"The pepperoni pizza was decent enough, though nothing stood out. The crust was slightly chewy with a great sourdough flavor. The perfectly balanced sauce with hints of oregano and garlic while the cheese was a bit rubbery was just okay. Loved the open kitchen concept where you can see the chefs working. However, We had to flag down the waiter multiple times just to get the check. It's a bit pricier than your average pizza joint, but the quality of ingredients justifies it."
Not worth the price,04-12-24,2,"I had high hopes for the white truffle pizza, but it fell short. The perfectly balanced sauce with hints of oregano and garlic was disappointing and the crust was thin and traditional. The cheese was a bit rubbery lacked flavor. The staff was incredibly knowledgeable about the wine pairings. The lunch special is an absolute steal for the quality you get. The decor is simple but charming, giving it a real rustic feel."
Absolute perfection!,12-24-23,5,"The veggie supreme was outstanding. The crust was a bit too doughy in the center, and the rich and savory tomato base. To top it off, the high-quality cheese that didn't feel greasy. The manager personally checked on our table to ensure everything was to our liking. The decor is simple but charming, giving it a real rustic feel. Definitely worth every penny."
Average at best,02-19-24,3,"The white truffle pizza was decent enough, though nothing stood out. The crust was perfectly charred from the wood-fired oven. The tomato sauce had a bright, fresh acidity while the generous portions of fresh mozzarella was just okay. The decor is simple but charming, giving it a real rustic feel. However, Service was a bit slow despite the restaurant not being full. I felt it was a bit overpriced for what is essentially bread and cheese."
Disappointing evening,12-13-23,2,"I had high hopes for the garlic knots, but it fell short. The perfectly balanced sauce with hints of oregano and garlic was disappointing and the crust was perfectly charred from the wood-fired oven. The high-quality cheese that didn't feel greasy lacked flavor. The manager personally checked on our table to ensure everything was to our liking. I felt it was a bit overpriced for what is essentially bread and cheese. The decor is simple but charming, giving it a real rustic feel."
Not sure I'll be back,03-19-24,3,"The pepperoni pizza was decent enough, though nothing stood out. The crust was slightly chewy with a great sourdough flavor. The perfectly balanced sauce with hints of oregano and garlic while the creamy buffalo mozzarella that melted beautifully was just okay. It gets quite loud during the dinner rush, making conversation difficult. However, The staff was incredibly knowledgeable about the wine pairings. It's a bit pricier than your average pizza joint, but the quality of ingredients justifies it."
My new weekly tradition,04-16-24,5,"The margherita pizza was outstanding. The crust was perfectly charred from the wood-fired oven, and the tomato sauce had a bright, fresh acidity. To top it off, the generous portions of fresh mozzarella. The staff was incredibly knowledgeable about the wine pairings. The ambiance is cozy and perfect for a date night. Definitely worth every penny."
Average at best,12-12-23,3,"The homemade pasta was decent enough, though nothing stood out. The crust was a bit too doughy in the center. The rich and savory tomato base while the generous portions of fresh mozzarella was just okay. It gets quite loud during the dinner rush, making conversation difficult. However, We had to flag down the waiter multiple times just to get the check. I felt it was a bit overpriced for what is essentially bread and cheese."
Better options elsewhere,03-08-24,2,"I had high hopes for the pepperoni pizza, but it fell short. The perfectly balanced sauce with hints of oregano and garlic was disappointing and the crust was a bit too doughy in the center. The high-quality cheese that didn't feel greasy lacked flavor. We had to flag down the waiter multiple times just to get the check. It's a bit pricier than your average pizza joint, but the quality of ingredients justifies it. It gets quite loud during the dinner rush, making conversation difficult."
Underwhelming,02-12-24,2,"I had high hopes for the margherita pizza, but it fell short. The sauce was a bit bland and lacked seasoning was disappointing and the crust was a bit too doughy in the center. The high-quality cheese that didn't feel greasy lacked flavor. The manager personally checked on our table to ensure everything was to our liking. I felt it was a bit overpriced for what is essentially bread and cheese. It gets quite loud during the dinner rush, making conversation difficult."
Absolute perfection!,03-15-24,5,"The pepperoni pizza was outstanding. The crust was slightly chewy with a great sourdough flavor, and the sauce was a bit bland and lacked seasoning. To top it off, the cheese was a bit rubbery. The manager personally checked on our table to ensure everything was to our liking. The ambiance is cozy and perfect for a date night. Definitely worth every penny."
"Decent food, slow service",02-08-24,3,"The pepperoni pizza was decent enough, though nothing stood out. The crust was slightly chewy with a great sourdough flavor. The perfectly balanced sauce with hints of oregano and garlic while the cheese ratio was spot on was just okay. The decor is simple but charming, giving it a real rustic feel. However, The manager personally checked on our table to ensure everything was to our liking. The lunch special is an absolute steal for the quality you get."
Not worth the price,01-04-24,2,"I had high hopes for the calzone, but it fell short. The perfectly balanced sauce with hints of oregano and garlic was disappointing and the crust was a bit too doughy in the center. The creamy buffalo mozzarella that melted beautifully lacked flavor. The server was very attentive and made sure our water glasses were never empty. Great value for the portion sizes we received. The ambiance is cozy and perfect for a date night."
Better options elsewhere,03-18-24,2,"I had high hopes for the pepperoni pizza, but it fell short. The perfectly balanced sauce with hints of oregano and garlic was disappointing and the crust was crispy on the bottom but airy and light. The high-quality cheese that didn't feel greasy lacked flavor. The staff was incredibly knowledgeable about the wine pairings. I felt it was a bit overpriced for what is essentially bread and cheese. Loved the open kitchen concept where you can see the chefs working."
Will definitely return,02-02-24,4,The garlic knots was very tasty. I particularly enjoyed how the crust was slightly chewy with a great sourdough flavor. The perfectly balanced sauce with hints of oregano and garlic and high-quality cheese that didn't feel greasy were highlights. The server was very attentive and made sure our water glasses were never empty. I felt it was a bit overpriced for what is essentially bread and cheese. Just a minor wait time kept it from being a full 5 stars.
Average at best,04-10-24,3,"The calzone was decent enough, though nothing stood out. The crust was slightly chewy with a great sourdough flavor. The tomato sauce had a bright, fresh acidity while the high-quality cheese that didn't feel greasy was just okay. The ambiance is cozy and perfect for a date night. However, Service was a bit slow despite the restaurant not being full. I felt it was a bit overpriced for what is essentially bread and cheese."
Disappointing evening,12-17-23,2,"I had high hopes for the veggie supreme, but it fell short. The perfectly balanced sauce with hints of oregano and garlic was disappointing and the crust was a bit too doughy in the center. The high-quality cheese that didn't feel greasy lacked flavor. Service was a bit slow despite the restaurant not being full. It's a bit pricier than your average pizza joint, but the quality of ingredients justifies it. Loved the open kitchen concept where you can see the chefs working."
Average at best,04-23-24,3,"The homemade pasta was decent enough, though nothing stood out. The crust was crispy on the bottom but airy and light. The sauce was a bit bland and lacked seasoning while the generous portions of fresh mozzarella was just okay. The ambiance is cozy and perfect for a date night. However, The staff was incredibly knowledgeable about the wine pairings. It's a bit pricier than your average pizza joint, but the quality of ingredients justifies it."
Better options elsewhere,01-22-24,2,"I had high hopes for the veggie supreme, but it fell short. The tomato sauce had a bright, fresh acidity was disappointing and the crust was slightly chewy with a great sourdough flavor. The high-quality cheese that didn't feel greasy lacked flavor. Service was a bit slow despite the restaurant not being full. Great value for the portion sizes we received. The decor is simple but charming, giving it a real rustic feel."
It was okay,12-01-23,3,"The margherita pizza was decent enough, though nothing stood out. The crust was crispy on the bottom but airy and light. The rich and savory tomato base while the cheese was a bit rubbery was just okay. Loved the open kitchen concept where you can see the chefs working. However, The manager personally checked on our table to ensure everything was to our liking. I felt it was a bit overpriced for what is essentially bread and cheese."
Incredible quality and service,01-21-24,5,"The pepperoni pizza was outstanding. The crust was thin and traditional, and the rich and savory tomato base. To top it off, the generous portions of fresh mozzarella. We had to flag down the waiter multiple times just to get the check. The ambiance is cozy and perfect for a date night. Definitely worth every penny."
Absolute perfection!,02-11-24,5,"The pepperoni pizza was outstanding. The crust was thin and traditional, and the tomato sauce had a bright, fresh acidity. To top it off, the high-quality cheese that didn't feel greasy. The staff was incredibly knowledgeable about the wine pairings. The decor is simple but charming, giving it a real rustic feel. Definitely worth every penny."
Really solid pizza,02-08-24,4,The pepperoni pizza was very tasty. I particularly enjoyed how the crust was thin and traditional. The perfectly balanced sauce with hints of oregano and garlic and generous portions of fresh mozzarella were highlights. The manager personally checked on our table to ensure everything was to our liking. The lunch special is an absolute steal for the quality you get. Just a minor wait time kept it from being a full 5 stars.
Avoid this place,12-11-23,1,This was honestly a disaster. The white truffle pizza arrived cold and the crust was a bit too doughy in the center. The perfectly balanced sauce with hints of oregano and garlic was off and the creamy buffalo mozzarella that melted beautifully was poor quality. Service was a bit slow despite the restaurant not being full. The lunch special is an absolute steal for the quality you get. Loved the open kitchen concept where you can see the chefs working. I cannot recommend this place to anyone.
My new weekly tradition,03-11-24,5,"The garlic knots was outstanding. The crust was crispy on the bottom but airy and light, and the rich and savory tomato base. To top it off, the generous portions of fresh mozzarella. Service was a bit slow despite the restaurant not being full. The decor is simple but charming, giving it a real rustic feel. Definitely worth every penny."
Best meal in a long time,01-25-24,5,"The calzone was outstanding. The crust was perfectly charred from the wood-fired oven, and the perfectly balanced sauce with hints of oregano and garlic. To top it off, the cheese was a bit rubbery. The staff was incredibly knowledgeable about the wine pairings. Loved the open kitchen concept where you can see the chefs working. Definitely worth every penny."
Absolute perfection!,04-05-24,5,"The calzone was outstanding. The crust was thin and traditional, and the rich and savory tomato base. To top it off, the creamy buffalo mozzarella that melted beautifully. The manager personally checked on our table to ensure everything was to our liking. The ambiance is cozy and perfect for a date night. Definitely worth every penny."
Avoid this place,02-22-24,1,"This was honestly a disaster. The margherita pizza arrived cold and the crust was slightly chewy with a great sourdough flavor. The rich and savory tomato base was off and the cheese ratio was spot on was poor quality. We had to flag down the waiter multiple times just to get the check. It's a bit pricier than your average pizza joint, but the quality of ingredients justifies it. Loved the open kitchen concept where you can see the chefs working. I cannot recommend this place to anyone."
Average at best,02-06-24,3,"The white truffle pizza was decent enough, though nothing stood out. The crust was slightly chewy with a great sourdough flavor. The rich and savory tomato base while the cheese was a bit rubbery was just okay. The ambiance is cozy and perfect for a date night. However, We had to flag down the waiter multiple times just to get the check. I felt it was a bit overpriced for what is essentially bread and cheese."
Incredible quality and service,12-25-23,5,"The white truffle pizza was outstanding. The crust was a bit too doughy in the center, and the rich and savory tomato base. To top it off, the creamy buffalo mozzarella that melted beautifully. The staff was incredibly knowledgeable about the wine pairings. Loved the open kitchen concept where you can see the chefs working. Definitely worth every penny."
Terrible experience,03-18-24,1,"This was honestly a disaster. The margherita pizza arrived cold and the crust was a bit too doughy in the center. The perfectly balanced sauce with hints of oregano and garlic was off and the cheese ratio was spot on was poor quality. Service was a bit slow despite the restaurant not being full. I felt it was a bit overpriced for what is essentially bread and cheese. The decor is simple but charming, giving it a real rustic feel. I cannot recommend this place to anyone."
Best meal in a long time,01-27-24,5,"The white truffle pizza was outstanding. The crust was thin and traditional, and the tomato sauce had a bright, fresh acidity. To top it off, the cheese was a bit rubbery. The staff was incredibly knowledgeable about the wine pairings. Loved the open kitchen concept where you can see the chefs working. Definitely worth every penny."
Average at best,12-27-23,3,"The homemade pasta was decent enough, though nothing stood out. The crust was slightly chewy with a great sourdough flavor. The sauce was a bit bland and lacked seasoning while the high-quality cheese that didn't feel greasy was just okay. Loved the open kitchen concept where you can see the chefs working. However, The manager personally checked on our table to ensure everything was to our liking. It's a bit pricier than your average pizza joint, but the quality of ingredients justifies it."
Disappointing evening,02-16-24,2,"I had high hopes for the pepperoni pizza, but it fell short. The perfectly balanced sauce with hints of oregano and garlic was disappointing and the crust was perfectly charred from the wood-fired oven. The cheese ratio was spot on lacked flavor. Service was a bit slow despite the restaurant not being full. The lunch special is an absolute steal for the quality you get. Loved the open kitchen concept where you can see the chefs working."
My new weekly tradition,04-01-24,5,"The pepperoni pizza was outstanding. The crust was perfectly charred from the wood-fired oven, and the rich and savory tomato base. To top it off, the creamy buffalo mozzarella that melted beautifully. We had to flag down the waiter multiple times just to get the check. Loved the open kitchen concept where you can see the chefs working. Definitely worth every penny."
Absolute perfection!,04-10-24,5,"The pepperoni pizza was outstanding. The crust was a bit too doughy in the center, and the rich and savory tomato base. To top it off, the cheese ratio was spot on. The manager personally checked on our table to ensure everything was to our liking. Loved the open kitchen concept where you can see the chefs working. Definitely worth every penny."
Underwhelming,03-27-24,2,"I had high hopes for the homemade pasta, but it fell short. The perfectly balanced sauce with hints of oregano and garlic was disappointing and the crust was crispy on the bottom but airy and light. The creamy buffalo mozzarella that melted beautifully lacked flavor. The manager personally checked on our table to ensure everything was to our liking. The lunch special is an absolute steal for the quality you get. The decor is simple but charming, giving it a real rustic feel."
Not worth the price,12-01-23,2,"I had high hopes for the veggie supreme, but it fell short. The tomato sauce had a bright, fresh acidity was disappointing and the crust was slightly chewy with a great sourdough flavor. The high-quality cheese that didn't feel greasy lacked flavor. Service was a bit slow despite the restaurant not being full. I felt it was a bit overpriced for what is essentially bread and cheese. The decor is simple but charming, giving it a real rustic feel."
Absolute perfection!,03-12-24,5,"The homemade pasta was outstanding. The crust was slightly chewy with a great sourdough flavor, and the perfectly balanced sauce with hints of oregano and garlic. To top it off, the cheese was a bit rubbery. The server was very attentive and made sure our water glasses were never empty. The decor is simple but charming, giving it a real rustic feel. Definitely worth every penny."
Waste of money,01-23-24,1,"This was honestly a disaster. The homemade pasta arrived cold and the crust was crispy on the bottom but airy and light. The sauce was a bit bland and lacked seasoning was off and the cheese ratio was spot on was poor quality. The staff was incredibly knowledgeable about the wine pairings. It's a bit pricier than your average pizza joint, but the quality of ingredients justifies it. The ambiance is cozy and perfect for a date night. I cannot recommend this place to anyone."
Best meal in a long time,04-03-24,5,"The homemade pasta was outstanding. The crust was thin and traditional, and the sauce was a bit bland and lacked seasoning. To top it off, the cheese was a bit rubbery. The manager personally checked on our table to ensure everything was to our liking. The decor is simple but charming, giving it a real rustic feel. Definitely worth every penny."
Incredible quality and service,01-24-24,5,"The garlic knots was outstanding. The crust was a bit too doughy in the center, and the perfectly balanced sauce with hints of oregano and garlic. To top it off, the generous portions of fresh mozzarella. Service was a bit slow despite the restaurant not being full. Loved the open kitchen concept where you can see the chefs working. Definitely worth every penny."
Better options elsewhere,04-01-24,2,"I had high hopes for the margherita pizza, but it fell short. The tomato sauce had a bright, fresh acidity was disappointing and the crust was slightly chewy with a great sourdough flavor. The cheese ratio was spot on lacked flavor. The staff was incredibly knowledgeable about the wine pairings. It's a bit pricier than your average pizza joint, but the quality of ingredients justifies it. The ambiance is cozy and perfect for a date night."
Absolute perfection!,04-28-24,5,"The homemade pasta was outstanding. The crust was perfectly charred from the wood-fired oven, and the tomato sauce had a bright, fresh acidity. To top it off, the cheese ratio was spot on. We had to flag down the waiter multiple times just to get the check. The decor is simple but charming, giving it a real rustic feel. Definitely worth every penny."
Incredible quality and service,03-21-24,5,"The homemade pasta was outstanding. The crust was a bit too doughy in the center, and the tomato sauce had a bright, fresh acidity. To top it off, the high-quality cheese that didn't feel greasy. The manager personally checked on our table to ensure everything was to our liking. It gets quite loud during the dinner rush, making conversation difficult. Definitely worth every penny."
My new weekly tradition,12-05-23,5,"The white truffle pizza was outstanding. The crust was crispy on the bottom but airy and light, and the tomato sauce had a bright, fresh acidity. To top it off, the generous portions of fresh mozzarella. The staff was incredibly knowledgeable about the wine pairings. It gets quite loud during the dinner rush, making conversation difficult. Definitely worth every penny."
"Decent food, slow service",04-13-24,3,"The veggie supreme was decent enough, though nothing stood out. The crust was perfectly charred from the wood-fired oven. The sauce was a bit bland and lacked seasoning while the creamy buffalo mozzarella that melted beautifully was just okay. Loved the open kitchen concept where you can see the chefs working. However, Service was a bit slow despite the restaurant not being full. Great value for the portion sizes we received."
Better options elsewhere,12-13-23,2,"I had high hopes for the veggie supreme, but it fell short. The perfectly balanced sauce with hints of oregano and garlic was disappointing and the crust was perfectly charred from the wood-fired oven. The generous portions of fresh mozzarella lacked flavor. Service was a bit slow despite the restaurant not being full. Great value for the portion sizes we received. The decor is simple but charming, giving it a real rustic feel."
Not worth the price,12-10-23,2,"I had high hopes for the margherita pizza, but it fell short. The rich and savory tomato base was disappointing and the crust was a bit too doughy in the center. The high-quality cheese that didn't feel greasy lacked flavor. The staff was incredibly knowledgeable about the wine pairings. It's a bit pricier than your average pizza joint, but the quality of ingredients justifies it. Loved the open kitchen concept where you can see the chefs working."
Best meal in a long time,12-11-23,5,"The veggie supreme was outstanding. The crust was thin and traditional, and the rich and savory tomato base. To top it off, the cheese ratio was spot on. The manager personally checked on our table to ensure everything was to our liking. Loved the open kitchen concept where you can see the chefs working. Definitely worth every penny."
It was okay,03-30-24,3,"The margherita pizza was decent enough, though nothing stood out. The crust was a bit too doughy in the center. The tomato sauce had a bright, fresh acidity while the generous portions of fresh mozzarella was just okay. Loved the open kitchen concept where you can see the chefs working. However, Service was a bit slow despite the restaurant not being full. Great value for the portion sizes we received."
Best meal in a long time,04-21-24,5,"The garlic knots was outstanding. The crust was a bit too doughy in the center, and the tomato sauce had a bright, fresh acidity. To top it off, the creamy buffalo mozzarella that melted beautifully. The manager personally checked on our table to ensure everything was to our liking. The ambiance is cozy and perfect for a date night. Definitely worth every penny."
My new weekly tradition,01-30-24,5,"The garlic knots was outstanding. The crust was slightly chewy with a great sourdough flavor, and the tomato sauce had a bright, fresh acidity. To top it off, the high-quality cheese that didn't feel greasy. The server was very attentive and made sure our water glasses were never empty. The decor is simple but charming, giving it a real rustic feel. Definitely worth every penny."
Terrible experience,04-28-24,1,"This was honestly a disaster. The pepperoni pizza arrived cold and the crust was a bit too doughy in the center. The tomato sauce had a bright, fresh acidity was off and the cheese was a bit rubbery was poor quality. Service was a bit slow despite the restaurant not being full. The lunch special is an absolute steal for the quality you get. The decor is simple but charming, giving it a real rustic feel. I cannot recommend this place to anyone."
Best meal in a long time,04-12-24,5,"The veggie supreme was outstanding. The crust was crispy on the bottom but airy and light, and the perfectly balanced sauce with hints of oregano and garlic. To top it off, the high-quality cheese that didn't feel greasy. Service was a bit slow despite the restaurant not being full. Loved the open kitchen concept where you can see the chefs working. Definitely worth every penny."
Best meal in a long time,04-07-24,5,"The white truffle pizza was outstanding. The crust was thin and traditional, and the tomato sauce had a bright, fresh acidity. To top it off, the high-quality cheese that didn't feel greasy. The server was very attentive and made sure our water glasses were never empty. Loved the open kitchen concept where you can see the chefs working. Definitely worth every penny."
Avoid this place,12-22-23,1,"This was honestly a disaster. The white truffle pizza arrived cold and the crust was perfectly charred from the wood-fired oven. The sauce was a bit bland and lacked seasoning was off and the creamy buffalo mozzarella that melted beautifully was poor quality. The staff was incredibly knowledgeable about the wine pairings. The lunch special is an absolute steal for the quality you get. It gets quite loud during the dinner rush, making conversation difficult. I cannot recommend this place to anyone."
Absolute perfection!,04-28-24,5,"The margherita pizza was outstanding. The crust was crispy on the bottom but airy and light, and the perfectly balanced sauce with hints of oregano and garlic. To top it off, the high-quality cheese that didn't feel greasy. The manager personally checked on our table to ensure everything was to our liking. The ambiance is cozy and perfect for a date night. Definitely worth every penny."
It was okay,03-30-24,3,"The white truffle pizza was decent enough, though nothing stood out. The crust was a bit too doughy in the center. The rich and savory tomato base while the creamy buffalo mozzarella that melted beautifully was just okay. The ambiance is cozy and perfect for a date night. However, We had to flag down the waiter multiple times just to get the check. I felt it was a bit overpriced for what is essentially bread and cheese."
Better options elsewhere,03-15-24,2,"I had high hopes for the white truffle pizza, but it fell short. The tomato sauce had a bright, fresh acidity was disappointing and the crust was slightly chewy with a great sourdough flavor. The cheese was a bit rubbery lacked flavor. The manager personally checked on our table to ensure everything was to our liking. I felt it was a bit overpriced for what is essentially bread and cheese. It gets quite loud during the dinner rush, making conversation difficult."
Not sure I'll be back,04-21-24,3,"The homemade pasta was decent enough, though nothing stood out. The crust was perfectly charred from the wood-fired oven. The rich and savory tomato base while the generous portions of fresh mozzarella was just okay. Loved the open kitchen concept where you can see the chefs working. However, The server was very attentive and made sure our water glasses were never empty. I felt it was a bit overpriced for what is essentially bread and cheese."
Incredible quality and service,12-03-23,5,"The margherita pizza was outstanding. The crust was crispy on the bottom but airy and light, and the perfectly balanced sauce with hints of oregano and garlic. To top it off, the creamy buffalo mozzarella that melted beautifully. We had to flag down the waiter multiple times just to get the check. Loved the open kitchen concept where you can see the chefs working. Definitely worth every penny."
Will definitely return,04-04-24,4,The pepperoni pizza was very tasty. I particularly enjoyed how the crust was a bit too doughy in the center. The perfectly balanced sauce with hints of oregano and garlic and creamy buffalo mozzarella that melted beautifully were highlights. We had to flag down the waiter multiple times just to get the check. Great value for the portion sizes we received. Just a minor wait time kept it from being a full 5 stars.
"Great food, small wait",01-25-24,4,"The white truffle pizza was very tasty. I particularly enjoyed how the crust was thin and traditional. The tomato sauce had a bright, fresh acidity and generous portions of fresh mozzarella were highlights. The manager personally checked on our table to ensure everything was to our liking. The lunch special is an absolute steal for the quality you get. Just a minor wait time kept it from being a full 5 stars."
My new weekly tradition,03-16-24,5,"The calzone was outstanding. The crust was crispy on the bottom but airy and light, and the sauce was a bit bland and lacked seasoning. To top it off, the creamy buffalo mozzarella that melted beautifully. Service was a bit slow despite the restaurant not being full. The ambiance is cozy and perfect for a date night. Definitely worth every penny."
My new weekly tradition,01-15-24,5,"The homemade pasta was outstanding. The crust was thin and traditional, and the rich and savory tomato base. To top it off, the creamy buffalo mozzarella that melted beautifully. The server was very attentive and made sure our water glasses were never empty. Loved the open kitchen concept where you can see the chefs working. Definitely worth every penny."
Terrible experience,03-10-24,1,This was honestly a disaster. The veggie supreme arrived cold and the crust was crispy on the bottom but airy and light. The rich and savory tomato base was off and the creamy buffalo mozzarella that melted beautifully was poor quality. The staff was incredibly knowledgeable about the wine pairings. I felt it was a bit overpriced for what is essentially bread and cheese. Loved the open kitchen concept where you can see the chefs working. I cannot recommend this place to anyone.
My new weekly tradition,01-19-24,5,"The garlic knots was outstanding. The crust was perfectly charred from the wood-fired oven, and the rich and savory tomato base. To top it off, the creamy buffalo mozzarella that melted beautifully. The staff was incredibly knowledgeable about the wine pairings. It gets quite loud during the dinner rush, making conversation difficult. Definitely worth every penny."
"Great food, small wait",02-20-24,4,The margherita pizza was very tasty. I particularly enjoyed how the crust was thin and traditional. The perfectly balanced sauce with hints of oregano and garlic and cheese was a bit rubbery were highlights. The staff was incredibly knowledgeable about the wine pairings. The lunch special is an absolute steal for the quality you get. Just a minor wait time kept it from being a full 5 stars.
Will definitely return,02-26-24,4,The white truffle pizza was very tasty. I particularly enjoyed how the crust was thin and traditional. The perfectly balanced sauce with hints of oregano and garlic and cheese was a bit rubbery were highlights. Service was a bit slow despite the restaurant not being full. I felt it was a bit overpriced for what is essentially bread and cheese. Just a minor wait time kept it from being a full 5 stars.
Disappointing evening,02-02-24,2,"I had high hopes for the calzone, but it fell short. The perfectly balanced sauce with hints of oregano and garlic was disappointing and the crust was thin and traditional. The high-quality cheese that didn't feel greasy lacked flavor. The server was very attentive and made sure our water glasses were never empty. I felt it was a bit overpriced for what is essentially bread and cheese. The ambiance is cozy and perfect for a date night."
Average at best,02-19-24,3,"The veggie supreme was decent enough, though nothing stood out. The crust was slightly chewy with a great sourdough flavor. The perfectly balanced sauce with hints of oregano and garlic while the creamy buffalo mozzarella that melted beautifully was just okay. The decor is simple but charming, giving it a real rustic feel. However, The server was very attentive and made sure our water glasses were never empty. The lunch special is an absolute steal for the quality you get."
Not worth the price,02-17-24,2,"I had high hopes for the calzone, but it fell short. The rich and savory tomato base was disappointing and the crust was perfectly charred from the wood-fired oven. The generous portions of fresh mozzarella lacked flavor. We had to flag down the waiter multiple times just to get the check. The lunch special is an absolute steal for the quality you get. It gets quite loud during the dinner rush, making conversation difficult."
My new weekly tradition,04-03-24,5,"The homemade pasta was outstanding. The crust was crispy on the bottom but airy and light, and the tomato sauce had a bright, fresh acidity. To top it off, the creamy buffalo mozzarella that melted beautifully. Service was a bit slow despite the restaurant not being full. The ambiance is cozy and perfect for a date night. Definitely worth every penny."
My new weekly tradition,04-29-24,5,"The white truffle pizza was outstanding. The crust was thin and traditional, and the sauce was a bit bland and lacked seasoning. To top it off, the cheese ratio was spot on. The server was very attentive and made sure our water glasses were never empty. It gets quite loud during the dinner rush, making conversation difficult. Definitely worth every penny."
It was okay,02-17-24,3,"The veggie supreme was decent enough, though nothing stood out. The crust was crispy on the bottom but airy and light. The tomato sauce had a bright, fresh acidity while the creamy buffalo mozzarella that melted beautifully was just okay. The ambiance is cozy and perfect for a date night. However, Service was a bit slow despite the restaurant not being full. I felt it was a bit overpriced for what is essentially bread and cheese."
Not sure I'll be back,12-06-23,3,"The margherita pizza was decent enough, though nothing stood out. The crust was crispy on the bottom but airy and light. The tomato sauce had a bright, fresh acidity while the cheese was a bit rubbery was just okay. The decor is simple but charming, giving it a real rustic feel. However, Service was a bit slow despite the restaurant not being full. I felt it was a bit overpriced for what is essentially bread and cheese."
My new weekly tradition,03-15-24,5,"The pepperoni pizza was outstanding. The crust was crispy on the bottom but airy and light, and the sauce was a bit bland and lacked seasoning. To top it off, the cheese ratio was spot on. The manager personally checked on our table to ensure everything was to our liking. The decor is simple but charming, giving it a real rustic feel. Definitely worth every penny."
Best meal in a long time,02-21-24,5,"The margherita pizza was outstanding. The crust was perfectly charred from the wood-fired oven, and the tomato sauce had a bright, fresh acidity. To top it off, the cheese was a bit rubbery. Service was a bit slow despite the restaurant not being full. It gets quite loud during the dinner rush, making conversation difficult. Definitely worth every penny."
Underwhelming,01-23-24,2,"I had high hopes for the veggie supreme, but it fell short. The rich and savory tomato base was disappointing and the crust was perfectly charred from the wood-fired oven. The high-quality cheese that didn't feel greasy lacked flavor. Service was a bit slow despite the restaurant not being full. It's a bit pricier than your average pizza joint, but the quality of ingredients justifies it. The decor is simple but charming, giving it a real rustic feel."
Incredible quality and service,01-18-24,5,"The margherita pizza was outstanding. The crust was crispy on the bottom but airy and light, and the sauce was a bit bland and lacked seasoning. To top it off, the high-quality cheese that didn't feel greasy. The staff was incredibly knowledgeable about the wine pairings. It gets quite loud during the dinner rush, making conversation difficult. Definitely worth every penny."
